1;rohitsharma45;Rohit Sharma;Sports with a ball Lifestyle;38M;India;3.1M;3.5M;
2;jlo;Jennifer Lopez;Music Cinema & Actors/actresses;253.2M;United States;334.3K;493K;
3;yong.lixx;Felix;;22.1M;Brazil;2.4M;3.2M;
4;jasonstatham;Jason Statham;Cinema & Actors/actresses;42M;Iran;1.1M;1.4M;
5;vindiesel;Vin Diesel;Cinema & Actors/actresses;102.9M;Brazil;393.2K;504.1K;
6;johnnydepp;Johnny Depp;Cinema & Actors/actresses Music;28.7M;United States;894K;1.1M;
7;susana.dxoxo;Susane Damouni;;25.2M;United States;571.4K;1.3M;
8;vladimirshmondenko;VLADIMIR1 & mr ANATOLY;Fitness & Gym;13.9M;Russia;1.4M;1.8M;
9;cznburak;Burak Özdemir;Food & Cooking;54.2M;Turkey;284.6K;370.7K;
10;gnabnahc;Bang Chan;;8M;Brazil;1.8M;2.4M;
11;thenotoriousmma;Conor McGregor Official;Fitness & Gym;47.6M;United States;250.2K;317.4K;
12;gusein.gasanov;ГУСЕЙН ГАСАНОВ;Shows;28.6M;Russia;374K;533.8K;
13;victoriabeckham;Victoria Beckham;Fashion Family;33M;United Kingdom;287.9K;372K;
14;hakkiakdenizz;hakki akdeniz;Business & Careers;35.4M;Turkey;196.1K;332K;
15;khabib_nurmagomedov;Хабиб Нурмагомедов;Fitness & Gym;36.8M;Russia;209.1K;260.5K;
16;otabek_muhammadalievich;Otabek Umarov;;32.8M;Russia;162.9K;258.7K;
17;pugachevmark;Mark Pugachev;Cars & Motorbikes Luxury;19.8M;Russia;176.5K;403.6K;
18;snejanaonopka15;Snejana Onopka;Modeling;15.7M;Brazil;262.1K;457.8K;
19;hannahstocking;Hannah Stocking;Modeling;26.4M;United States;196.5K;263K;
20;araikgalstyanmoscowschool;ARAIK GALSTYAN;Beauty;22.3M;Russia;153K;292.4K;
21;subo_m;Субо Мамедов;Shows;13M;Russia;301.7K;375.6K;
22;kashikakapoor09;Kashika Kapoor;Beauty Lifestyle Cinema & Actors/actresses;18.2M;India;120.4K;267.2K;
23;erkangndzlp;Erkan Gündüzalp;;9M;Russia;253.9K;520.6K;
24;evcenf;Fahriye Evcen Özçivit;Lifestyle Beauty;13.8M;Turkey;238.1K;306.9K;
25;hasbulla.hushetskiy;Hasbulla Magomedov;Lifestyle;8.3M;Russia;330.2K;492.5K;
26;neslihanatagul;Neslihan Atagül Doğulu;Cinema & Actors/actresses Modeling;14.2M;Iraq;221.5K;273.6K;
27;thebursin;Kerem Bürsin;Cinema & Actors/actresses;11.3M;Turkey;269.8K;336.6K;
28;ulugbekhon;Ulugbekhon Maksumov;Business & Careers;12M;Russia;158.6K;296.1K;
29;irinashayk;irina shayk;Modeling;23.5M;Russia;116.5K;148.6K;
30;rosiehw;Rosie HW;Modeling;19.9M;United States;122.7K;168.4K;
31;eilirjani;Elton ILIRJANI;Adult content;12.1M;United States;112.5K;251.9K;
32;leonardodicaprio;Leonardo DiCaprio;Cinema & Actors/actresses;62.1M;United States;38.4K;47.2K;
33;schwarzenegger;Arnold Schwarzenegger;Cinema & Actors/actresses Fitness & Gym;26.3M;United States;80.2K;102K;
34;pinchuk_official;Ирина Пинчук;;5M;Russia;401.1K;516.6K;
35;urgantcom;Иван Ургант;Shows Cinema & Actors/actresses;11.9M;Russia;175.1K;201.5K;
36;twentyonepilots;twenty one pilots;Music;8.6M;United States;226K;268.4K;
37;brianmaps;Брайн Мапс (Макс Тарасенко);;5.9M;Russia;310.7K;348.4K;
38;lilpump;Pump;Music;14.1M;United States;81.8K;135.5K;
39;kikakim;Kristina Kim;Lifestyle Music;8.5M;Kazakhstan;186.5K;219.4K;
40;islam_makhachev;Islam_Makhachev;Fitness & Gym;8.3M;Russia;174.9K;217.5K;
41;rahimabramov;Rakhim;Shows;6M;Russia;167K;275.3K;
42;chrismcg;Christopher McGinnis;;10M;United States;44.5K;151.9K;
43;wengallbi_tm;Ахмед Алиасхабов;Cars & Motorbikes;5.3M;Russia;227.4K;281.1K;
44;timatiofficial;13;Music Fitness & Gym Lifestyle;20.2M;Russia;56.5K;69K;
45;imaginedragons;Imagine Dragons;Music;8.1M;United States;145.4K;172.6K;
46;adidas;adidas;Clothing & Outfits Fitness & Gym;29M;United States;34.6K;44.2K;
47;kvara7;Khvicha Kvaratskhelia;;3.5M;Russia;284.6K;364.4K;
48;munisarizaeva;Munisa Rizaeva;Music Shows Humor & Fun & Happiness;7M;Uzbekistan;154.8K;184.9K;
49;borodylia;Ксения Бородина;Shows Family;20.7M;Russia;46.7K;58.2K;
50;love__rose92;Liubava Rose ❤️ 🌹;Nature & landscapes Lifestyle Travel;5.8M;India;141.3K;203.5K;
